0	Token: Inicio-de-programa		Tipo: INICIO_PROGRAMA
1	Token: Leer		Tipo: LEER
2	Token: N		Tipo: IDENTIFICADOR
3	Token: Escribir		Tipo: ESCRIBIR
4	Token: N		Tipo: IDENTIFICADOR
5	Token: prom		Tipo: IDENTIFICADOR
6	Token: =		Tipo: IGUAL
7	Token: 0.0		Tipo: FLOTANTE
8	Token: I		Tipo: IDENTIFICADOR
9	Token: =		Tipo: IGUAL
10	Token: 0.0		Tipo: FLOTANTE
11	Token: Mientras		Tipo: MIENTRAS
12	Token: I		Tipo: IDENTIFICADOR
13	Token: <		Tipo: OPERADOR_RELACIONAL
14	Token: N		Tipo: IDENTIFICADOR
15	Token: Inicio		Tipo: INICIO
16	Token: Leer		Tipo: LEER
17	Token: calificacion		Tipo: IDENTIFICADOR
18	Token: prom		Tipo: IDENTIFICADOR
19	Token: =		Tipo: IGUAL
20	Token: prom		Tipo: IDENTIFICADOR
21	Token: +		Tipo: OPERADOR_ARITMETICO
22	Token: calificacion		Tipo: IDENTIFICADOR
23	Token: I		Tipo: IDENTIFICADOR
24	Token: =		Tipo: IGUAL
25	Token: I		Tipo: IDENTIFICADOR
26	Token: +		Tipo: OPERADOR_ARITMETICO
27	Token: 1.0		Tipo: FLOTANTE
28	Token: Fin		Tipo: FIN
29	Token: prom		Tipo: IDENTIFICADOR
30	Token: =		Tipo: IGUAL
31	Token: prom		Tipo: IDENTIFICADOR
32	Token: /		Tipo: OPERADOR_ARITMETICO
33	Token: N		Tipo: IDENTIFICADOR
34	Token: reprobado		Tipo: IDENTIFICADOR
35	Token: =		Tipo: IGUAL
36	Token: 5.0		Tipo: FLOTANTE
37	Token: Si		Tipo: SI
38	Token: prom		Tipo: IDENTIFICADOR
39	Token: <		Tipo: OPERADOR_RELACIONAL
40	Token: 6.0		Tipo: FLOTANTE
41	Token: Entonces		Tipo: ENTONCES
42	Token: Inicio		Tipo: INICIO
43	Token: Escribir		Tipo: ESCRIBIR
44	Token: reprobado		Tipo: IDENTIFICADOR
45	Token: Fin		Tipo: FIN
46	Token: Si		Tipo: SI
47	Token: prom		Tipo: IDENTIFICADOR
48	Token: >=		Tipo: OPERADOR_RELACIONAL
49	Token: 6.0		Tipo: FLOTANTE
50	Token: Entonces		Tipo: ENTONCES
51	Token: Inicio		Tipo: INICIO
52	Token: Escribir		Tipo: ESCRIBIR
53	Token: prom		Tipo: IDENTIFICADOR
54	Token: Fin		Tipo: FIN
55	Token: Fin-de-programa		Tipo: FIN_PROGRAMA
